  9809     KEK-PF   BL9A
 Fe010           22.05.11 17:26 - 22.05.11 18:33 Serial#KEKPF-BL9A_030107
 F2T0
 Ring :   2.5 GeV   425.1 mA -  449.9 mA
 Mono :   Si(111)       D=  3.13551 A    Initial angle= 13.93250 deg
 BL9A      Fluorescence( 3)   Repetition=  1     Points= 1426
 Param file : Std-EXAFS       energy axis(2)     Block =    6

 Block      Init-Eng  Final-Eng      Step/eV     Time/s       Num
     1        6606.20   7061.20         6.50       1.00        70
     2        7061.20   7076.20         1.00       1.00        15
     3        7076.20   7181.20         0.10       2.00      1050
     4        7181.20   7211.20         1.00       2.00        30
     5        7211.20   7611.20         2.50       3.00       160
     6        7611.20   8211.20         6.00       3.00       101
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         3
  16.13416  16.13410      2.00   3178724     39114
  16.13393  16.13400      2.00   3181938     38329
  16.13370  16.13360      2.00   3182003     37850
  16.13346  16.13350      2.00   3180970     37819
  16.13323  16.13330      2.00   3178465     37665
  16.13300  16.13300      2.00   3180364     37961
  16.13277  16.13280      2.00   3177586     37766
  16.13253  16.13250      2.00   3178275     38236
  16.13230  16.13230      2.00   3179403     38569
  16.13207  16.13220      2.00   3178367     38845
  16.13183  16.13180      2.00   3178473     40011
  16.13160  16.13160      2.00   3178244     40451
  16.13137  16.13140      2.00   3175460     41196
  16.13113  16.13110      2.00   3174317     42490
  16.13090  16.13090      2.00   3174417     43186
  16.13067  16.13060      2.00   3175201     44285
  16.13044  16.13040      2.00   3172183     45072
  16.13020  16.13030      2.00   3172088     45851
  16.12997  16.12990      2.00   3169438     47597
  16.12974  16.12970      2.00   3173250     48954
  16.12950  16.12950      2.00   3173526     49937
  16.12927  16.12930      2.00   3171481     51896
  16.12904  16.12910      2.00   3168832     53529
  16.12881  16.12870      2.00   3168349     55907
  16.12857  16.12860      2.00   3168177     57393
  16.12834  16.12840      2.00   3169717     59545
  16.12811  16.12810      2.00   3171105     62486
  16.12788  16.12780      2.00   3168274     64772
  16.12764  16.12770      2.00   3165748     66471
  16.12741  16.12750      2.00   3165173     69698
  16.12718  16.12720      2.00   3165875     73496
  16.12694  16.12700      2.00   3163844     76196
  16.12671  16.12670      2.00   3163289     79543
  16.12648  16.12650      2.00   3163589     82378
  16.12625  16.12630      2.00   3160635     85280
  16.12601  16.12600      2.00   3159358     88365
  16.12578  16.12570      2.00   3158834     90652
  16.12555  16.12560      2.00   3161855     92423
  16.12532  16.12530      2.00   3161681     95533
  16.12508  16.12500      2.00   3159451     97512
  16.12485  16.12490      2.00   3157454     99034
  16.12462  16.12460      2.00   3155848    101598
  16.12438  16.12430      2.00   3154232    103989
  16.12415  16.12420      2.00   3154358    105296
  16.12392  16.12390      2.00   3155350    108172
  16.12369  16.12360      2.00   3156962    110551
  16.12345  16.12350      2.00   3154839    111600
  16.12322  16.12320      2.00   3156064    114555
  16.12299  16.12300      2.00   3155546    116146
  16.12276  16.12270      2.00   3157120    118894
