#eBraggEnergy I0_EH1 I1_EH1 mu I1_EH2 IR_EH2 mu_ref
11134.311850032822 1512128 1466339 0.03074911205320502 1466339 122414 2.4831153545654012
11134.861962090268 1511643 1466019 0.030646574950577293 1466019 122123 2.4852771092335804
11135.306661537865 1511549 1465978 0.030612356309033303 1465978 121636 2.489244897163998
11135.819926672326 1511488 1465911 0.030617703864350317 1465911 121094 2.4936650676886174
11136.30770962633 1511888 1466208 0.030679724865639576 1466208 120432 2.499349476763969
11136.80763360849 1511874 1466234 0.030652732216546377 1466234 119965 2.503252454144799
11137.305589300238 1511734 1466184 0.030594229169916064 1466184 119627 2.506039817620226
11137.81300185748 1511672 1466124 0.030594139218213415 1466124 119367 2.5081746819229185
11138.313742003576 1511033 1465597 0.030530854900879145 1465597 119195 2.509257139531786
11138.765457486044 1510958 1465549 0.030513970445470922 1465549 119106 2.5099713423533787
11139.307298673308 1510797 1465457 0.030470186934580066 1465457 118971 2.5110426522653295
11139.744308281559 1510804 1465442 0.030485056007155134 1465442 118871 2.5118733109228857
11140.276837054687 1510890 1465551 0.030467600197336613 1465551 118815 2.5124188983704907
11140.742844227258 1510898 1465614 0.03042990875458802 1465614 118811 2.512495551041281
11141.276147260523 1510900 1465548 0.030476265804717 1465548 118794 2.512593612338462
11141.732154400857 1510407 1465101 0.030454968860094418 1465101 118833 2.5119603149210823
11142.263540319027 1510331 1465164 0.03036165050677115 1465164 118899 2.511448067345805
11142.729724579043 1510299 1465216 0.030304972596011774 1465216 118954 2.511021087097773
11143.210079101467 1510317 1465173 0.030346238334350125 1465173 119039 2.5102774327045805
11143.724793622494 1510181 1465018 0.030361982109991404 1465018 119026 2.510280851423514
